name,kda
LLL Robo,1.5185185185185186
LLL Croc,1.3333333333333333
LLL tinowns,2.7142857142857144
LLL Route,3.6923076923076925
LLL Ceos,2.0434782608695654
GAM Kiaya,2.537037037037037
GAM Levi,3.977272727272727
GAM Kati,3.142857142857143
GAM Slayder,4.931034482758621
GAM Palette,4.128205128205129
T1 Zeus,4.956521739130435
T1 Oner,6.653846153846154
T1 Faker,6.476190476190476
T1 Gumayusi,10.583333333333334
T1 Keria,8.368421052631579
JDG 369,2.9411764705882355
JDG Kanavi,2.7674418604651163
JDG knight,4.461538461538462
JDG Ruler,6.529411764705882
JDG MISSING,5.083333333333333
R7 Bong,0.7647058823529411
R7 Oddie,1.4166666666666667
R7 Mireu,1.2666666666666666
R7 Ceo,1.2857142857142858
R7 Lyonz,1.0666666666666667
FNC Oscarinin,1.6176470588235294
FNC Razork,3.64
FNC Humanoid,2.466666666666667
FNC Noah,4.75
FNC Trymbi,2.4545454545454546
WBG TheShy,2.09375
WBG Weiwei,3.3877551020408165
WBG Xiaohu,3.7555555555555555
WBG Light,5.758620689655173
WBG Crisp,3.8125
TL Summit,1.1875
TL Pyosik,3.875
TL APA,1.0
TL Yeon,1.5833333333333333
TL CoreJJ,1.1666666666666667
MAD Chasy,2.3125
MAD Elyoya,3.3076923076923075
MAD Nisqy,4.090909090909091
MAD Carzzy,2.7142857142857144
MAD Hylissang,1.5
TW Sparda,2.9655172413793105
TW BeanJ,2.8823529411764706
TW Gloryy,2.962962962962963
TW Artemis,4.75
TW Bie,4.041666666666667
PSG Azhi,3.5454545454545454
PSG JunJia,4.909090909090909
PSG Maple,5.411764705882353
PSG Wako,5.333333333333333
PSG Woody,5.0
CFO Rest,3.3333333333333335
CFO Gemini,4.333333333333333
CFO JimieN,4.5
CFO Shunn,4.352941176470588
CFO ShiauC,2.9615384615384617
C9 Fudge,2.05
C9 Blaber,3.5625
C9 EMENES,2.7857142857142856
C9 Berserker,3.5
C9 Zven,1.625
BDS Adam,2.4761904761904763
BDS Sheo,4.085714285714285
BDS nuc,2.7954545454545454
BDS Crownie,4.482758620689655
BDS Labrov,3.255813953488372
DK Canna,3.0526315789473686
DK Canyon,4.714285714285714
DK ShowMaker,6.6
DK Deft,4.533333333333333
DK Kellin,3.5
BLG Bin,2.5652173913043477
BLG XUN,4.861111111111111
BLG Yagao,3.533333333333333
BLG Elk,4.075
BLG ON,3.923076923076923
G2 BrokenBlade,2.0344827586206895
G2 Yike,2.193548387096774
G2 Caps,1.8055555555555556
G2 Hans Sama,2.161290322580645
G2 Mikyx,1.6904761904761905
GEN Doran,3.6666666666666665
GEN Peanut,4.684210526315789
GEN Chovy,5.466666666666667
GEN Peyz,6.833333333333333
GEN Delight,5.166666666666667
NRG Dhokla,3.473684210526316
NRG Contractz,4.0
NRG Palafox,4.0
NRG FBI,4.666666666666667
NRG IgNar,4.052631578947368
BLG 0N,8.5
KT Kiin,2.388888888888889
KT Cuzz,3.5
KT Bdd,3.6296296296296298
KT Aiming,6.722222222222222
KT Lehends,3.0
LNG Zika,2.0
LNG Tarzan,3.36
LNG Scout,4.157894736842105
LNG GALA,4.235294117647059
LNG Hang,3.130434782608696
DFM apaMEN,0.5
DFM Steal,1.0
DFM Aria,1.4615384615384615
DFM Yutapon,1.8
DFM Harp,1.4615384615384615
